,Month,Climate,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday
0,8,High humidity summer warm winter,17.5,36.0,0.0,8.8,,ESE,26.0,NNW,E,17.0,15.0,57.0,,1016.8,1012.2,0.0,,27.5,,no
1,12,Cool temperate,9.5,25.0,0.0,,,NNW,33.0,NE,NNW,7.0,17.0,59.0,31.0,1020.4,1017.5,,,14.6,23.6,no
2,4,Mild temperate,13.0,22.6,0.0,3.8,10.4,,,NE,E,17.0,31.0,79.0,68.0,1020.3,1015.7,1.0,3.0,17.5,20.8,no
3,11,Mild temperate,13.9,29.8,0.0,5.8,5.1,S,37.0,N,S,11.0,28.0,82.0,44.0,1012.5,1005.9,6.0,6.0,18.5,27.5,no
4,4,Hot dry summer cool winter,6.0,23.5,0.0,2.8,8.6,NNE,24.0,E,NNW,15.0,15.0,58.0,35.0,1019.8,1014.1,2.0,4.0,12.4,22.4,no
5,11,Cool temperate,8.7,28.0,0.0,,,W,39.0,SSE,WSW,4.0,19.0,49.0,22.0,1019.2,1015.9,1.0,3.0,20.2,27.1,no
6,6,Warm humid summer mild winter,6.8,20.3,0.0,,9.4,S,30.0,,SSE,0.0,19.0,75.0,48.0,1027.0,1025.4,0.0,1.0,15.2,19.3,no
7,12,Cool temperate,22.2,27.8,0.2,,,S,39.0,W,N,13.0,11.0,71.0,81.0,1008.6,1008.6,,,25.4,26.0,no
8,2,High humidity summer warm winter,23.6,30.7,0.0,9.8,11.7,ENE,41.0,SSE,ENE,13.0,28.0,61.0,65.0,1011.8,1009.2,2.0,2.0,27.6,29.2,no
9,9,Mild temperate,10.5,17.8,0.2,4.8,7.6,NW,63.0,NW,NW,19.0,37.0,67.0,54.0,1011.0,1010.4,4.0,5.0,14.7,16.4,no
10,10,Hot dry summer cool winter,6.6,18.7,1.0,,,SW,37.0,SW,SSW,19.0,19.0,72.0,36.0,,,,,12.9,17.5,yes
11,12,High humidity summer warm winter,23.1,32.0,0.0,8.2,9.5,E,44.0,SE,E,22.0,24.0,63.0,55.0,1017.0,1013.9,5.0,3.0,28.0,31.2,no
12,4,Warm humid summer mild winter,15.2,25.4,0.2,3.2,10.3,NNE,33.0,SE,NE,7.0,24.0,72.0,65.0,1024.1,1022.0,1.0,1.0,21.7,24.2,no
13,2,Mild temperate,12.9,26.2,0.0,5.2,11.7,SSE,33.0,SE,S,22.0,15.0,63.0,46.0,1015.0,1012.7,3.0,1.0,18.1,26.1,no
14,3,Mild temperate,15.4,24.0,0.0,2.6,8.4,S,52.0,WNW,SW,11.0,28.0,83.0,47.0,1019.4,1020.6,3.0,5.0,17.1,23.3,no
15,7,Warm temperate,10.3,16.2,3.0,,,NNW,22.0,N,NNW,7.0,15.0,99.0,59.0,1028.2,1026.1,,,10.4,15.7,yes
16,1,Mild temperate,14.2,27.2,0.2,7.6,12.6,SSE,33.0,SSW,SSE,9.0,20.0,51.0,43.0,1009.3,1006.8,1.0,,17.4,23.8,no
17,4,Warm temperate,12.7,27.2,0.0,4.4,10.2,NE,20.0,E,ENE,11.0,11.0,42.0,14.0,1026.6,1022.1,0.0,0.0,19.3,26.4,no
18,3,Warm temperate,16.8,32.1,35.2,,10.9,E,31.0,E,E,11.0,22.0,68.0,41.0,1013.3,1009.9,,,23.8,31.0,yes
19,7,Cool temperate,6.1,11.4,0.0,,,SSE,46.0,SSE,S,11.0,19.0,71.0,70.0,1021.3,1020.8,,,9.0,9.8,no
20,9,Hot dry summer warm winter,12.0,28.9,0.0,7.4,3.9,ENE,48.0,NE,SSW,20.0,20.0,39.0,71.0,1013.7,1013.3,4.0,7.0,22.5,18.8,no
21,7,Warm temperate,6.5,15.2,0.0,3.2,5.1,SSW,69.0,WNW,W,20.0,35.0,63.0,71.0,1014.8,1011.7,3.0,7.0,8.8,10.3,no
22,11,Warm temperate,14.0,30.0,0.0,13.2,13.2,SE,44.0,SE,SSE,22.0,6.0,48.0,26.0,1021.0,1018.1,1.0,1.0,19.0,27.8,no
23,8,Warm humid summer mild winter,10.0,17.7,0.0,2.5,,S,41.0,SW,SE,20.0,13.0,48.0,40.0,1018.3,1014.6,6.0,1.0,15.6,16.9,no
24,8,Mild temperate,4.0,14.8,0.0,,,E,20.0,ENE,ENE,11.0,9.0,88.0,56.0,1028.1,1025.2,,,7.0,13.8,no
25,2,Warm temperate,18.5,24.9,5.8,,,ENE,30.0,NNE,E,7.0,13.0,78.0,73.0,1011.0,1011.3,,,21.8,24.5,yes
26,7,Cool temperate,4.9,11.2,0.0,,,NW,20.0,,NW,0.0,15.0,71.0,51.0,1026.1,1023.3,8.0,5.0,7.3,10.4,no
27,10,Hot dry summer warm winter,13.5,38.4,0.0,11.6,11.9,ESE,57.0,E,E,26.0,26.0,8.0,6.0,1015.6,1010.9,0.0,0.0,28.8,36.1,no
28,10,Hot dry summer cool winter,11.1,24.9,0.0,,,W,69.0,ESE,N,11.0,20.0,80.0,52.0,1019.8,1014.4,,,17.4,24.5,no
29,2,Warm temperate,19.1,25.4,0.4,4.4,9.4,,,WNW,E,11.0,28.0,77.0,66.0,1009.2,1003.1,4.0,1.0,22.3,24.9,no
30,7,Hot dry summer cool winter,0.8,17.7,0.0,,,N,43.0,ENE,ENE,4.0,17.0,87.0,46.0,1019.7,1013.4,,,6.6,17.6,no
31,7,Hot dry summer cool winter,8.3,14.2,0.6,0.6,1.7,SSW,39.0,SW,SSW,13.0,24.0,100.0,75.0,1022.6,1022.3,8.0,7.0,11.2,12.9,no
32,11,High humidity summer warm winter,20.6,30.3,0.0,8.0,,NE,30.0,S,N,6.0,15.0,58.0,58.0,1012.2,1008.4,1.0,,28.5,28.6,no
33,6,Mild temperate,9.0,14.0,0.0,0.6,6.6,SSW,30.0,,SSW,0.0,17.0,91.0,69.0,1028.8,1027.9,,,9.8,12.4,no
34,9,Warm temperate,5.6,18.0,0.0,1.2,,SW,30.0,WNW,WSW,7.0,19.0,67.0,62.0,1017.8,1015.9,,,13.5,16.1,no
35,1,Mild temperate,18.5,21.2,7.0,5.0,0.8,,,SSW,,4.0,,91.0,,1000.3,1002.9,8.0,,20.0,,yes
36,7,Cool temperate,-2.2,14.3,0.4,,,N,31.0,SE,N,2.0,24.0,87.0,43.0,1029.2,1025.7,1.0,1.0,4.8,13.7,no
37,3,Hot dry summer cool winter,12.7,24.9,0.0,,,SSW,48.0,SW,SW,15.0,15.0,66.0,34.0,,,,,17.8,22.8,no
38,5,Warm temperate,13.0,27.6,0.0,7.6,7.2,NNE,41.0,NNE,N,24.0,22.0,34.0,16.0,1023.5,1021.2,8.0,8.0,18.3,26.6,no
39,5,Hot dry summer cool winter,7.9,15.1,0.4,,,W,39.0,W,W,24.0,22.0,77.0,53.0,1006.7,1009.2,3.0,4.0,9.9,13.5,no
40,8,Cool temperate,-2.4,13.7,0.0,2.4,,,,,,,,83.0,46.0,,,,,4.9,12.8,no
41,4,Warm temperate,8.4,21.9,0.0,,,ESE,28.0,E,ESE,9.0,13.0,85.0,59.0,1025.8,1023.8,,,15.8,21.5,no
42,9,Hot dry summer cool winter,5.5,13.6,0.0,,,WSW,43.0,W,WNW,20.0,24.0,68.0,58.0,1015.2,1015.6,,7.0,9.5,13.4,no
43,5,Hot dry summer cool winter,5.0,22.3,0.0,,,WNW,17.0,NNE,N,2.0,11.0,80.0,37.0,1017.5,1013.3,,,12.4,21.2,no
44,2,Mild temperate,13.9,23.8,1.4,,,SE,28.0,WNW,S,2.0,13.0,97.0,53.0,1020.1,1019.2,,,17.5,22.3,yes
45,9,Hot dry summer cool winter,7.3,20.8,0.0,4.0,4.8,NE,46.0,ESE,ENE,19.0,28.0,61.0,40.0,1019.3,1010.0,7.0,7.0,10.0,19.9,no
46,5,Mild temperate,2.6,15.9,0.2,0.6,4.5,NNE,31.0,NNE,W,17.0,6.0,94.0,94.0,1019.0,1015.2,1.0,8.0,8.1,12.5,no
47,1,Cool temperate,21.4,28.5,0.8,,,S,37.0,ESE,SE,26.0,24.0,71.0,56.0,1009.2,1007.2,,,25.3,28.0,no
48,2,Hot dry summer cool winter,18.7,26.4,0.0,7.0,0.9,SSE,39.0,E,SSE,13.0,20.0,62.0,56.0,1001.8,1002.4,7.0,7.0,22.2,24.7,no
49,3,Mild temperate,10.6,20.8,0.0,,,E,24.0,WSW,N,6.0,9.0,92.0,71.0,1020.9,1019.5,4.0,8.0,16.3,20.6,no
50,2,Warm temperate,15.7,32.2,0.0,8.8,12.6,W,35.0,SE,W,6.0,19.0,46.0,34.0,1008.0,1005.6,1.0,1.0,25.1,31.1,no
51,2,Warm temperate,19.5,25.7,0.0,8.0,12.0,E,44.0,ESE,E,20.0,30.0,52.0,55.0,1018.5,1016.7,1.0,1.0,23.7,24.2,no
52,9,Hot dry summer cool winter,11.0,22.6,0.0,7.8,7.1,N,67.0,NNE,N,22.0,39.0,41.0,33.0,1011.4,1007.7,7.0,7.0,17.7,21.9,no
53,7,Warm temperate,,18.5,0.0,,,,,,NW,,9.0,,44.0,,,,1.0,,17.9,no
54,12,Mild temperate,12.1,18.4,0.4,13.6,,SE,31.0,SSW,SSW,7.0,9.0,71.0,59.0,1020.6,1018.1,,,15.5,17.2,no
